Department,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night
Engineering,99.5,69.98,86.17,92.04,50.14,48.1,58.06,10.3,No,Yes,High,3,8.5
Mathematics,64.51,77.61,72.57,92.04,67.69,48.6,78.54,23.6,Yes,Yes,Medium,3,8.9
CS,90.48,44.51,81.85,96.77,78.78,54.6,95.35,11.1,No,Yes,Medium,8,5.2
CS,82.69,99.7,53.43,94.68,83.73,91.6,82.56,23.3,No,Yes,Low,5,7.9
Mathematics,91.55,44.84,98.73,94.37,80.21,74.2,65.59,6.9,No,No,Low,8,8.9
CS,51.13,48.34,98.88,89.29,52.85,0.5,91.5,17.7,No,Yes,Low,2,5.3
Mathematics,96.92,63.47,90.51,58.62,61.12,75.0,51.68,27.2,Yes,No,Low,9,6.8
Engineering,68.59,75.14,76.07,80.47,78.98,39.1,51.84,14.1,Yes,Yes,Medium,9,7.8
CS,98.24,85.76,65.13,90.51,99.62,97.1,80.86,9.0,No,No,Low,7,6.3
Business,82.72,41.33,94.63,88.67,64.91,25.2,81.84,7.0,No,Yes,High,10,5.1
Mathematics,67.31,84.77,70.8,87.42,88.85,33.0,64.6,24.0,No,Yes,Medium,1,5.6
Mathematics,66.23,90.76,87.51,66.73,50.13,1.7000000000000002,61.02,14.3,No,Yes,High,1,6.8
Mathematics,66.7,83.13,90.04,74.29,90.48,73.3,86.61,23.2,Yes,Yes,Low,3,6.8
Engineering,53.1,71.71,70.8,55.07,50.34,7.4,74.25,29.6,No,No,High,7,6.7
CS,80.13,64.42,58.17,76.26,84.16,36.5,61.98,7.5,Yes,Yes,Medium,3,8.4
CS,66.51,81.83,40.67,55.09,59.2,97.5,68.34,13.4,No,Yes,High,4,8.4
Business,68.86,67.67,65.04,75.71,94.25,2.8000000000000003,98.41,13.6,Yes,No,Medium,9,4.3
CS,82.84,99.0,72.39,60.71,69.57,59.400000000000006,81.46,8.6,Yes,No,High,10,4.9
Business,58.83,90.82,57.87,73.14,82.91,23.8,59.44,12.4,No,No,Medium,8,4.8
CS,55.6,50.7,65.02,67.1,53.36,89.7,82.5,13.8,Yes,No,Low,4,6.4
Business,88.74,94.72,87.1,58.75,68.08,1.7000000000000002,72.2,7.7,Yes,No,Medium,3,8.3
Mathematics,96.55,61.98,46.32,88.71,55.34,65.8,72.27,24.6,No,No,Low,6,5.9
CS,53.1,69.33,97.23,95.85,79.07,76.3,84.08,8.7,No,Yes,Medium,5,4.1
Business,88.25,72.24,81.21,75.35,68.12,79.1,73.8,25.7,Yes,No,Medium,3,9.0
Mathematics,91.45,66.26,89.08,54.06,61.0,3.6,74.75,15.2,Yes,No,High,9,8.3
Engineering,59.58,64.13,92.97,67.17,95.23,55.4,71.26,13.2,Yes,Yes,High,2,7.5
Mathematics,85.93,91.29,92.66,73.47,92.84,62.2,64.39,5.5,No,Yes,Medium,7,8.5
Engineering,55.42,96.62,82.24,72.22,91.9,83.2,64.86,27.4,Yes,No,Low,7,4.3
Engineering,93.25,94.37,48.65,62.7,76.16,80.5,71.53,29.9,No,Yes,Medium,8,6.2
Business,99.46,65.86,84.76,57.22,97.88,84.60000000000001,58.92,18.4,Yes,Yes,Medium,9,6.8
Business,91.4,41.09,55.55,55.23,75.2,9.6,60.71,27.0,No,Yes,Medium,10,4.3
CS,61.38,63.71,46.33,86.6,66.91,10.9,67.97,12.9,Yes,Yes,Low,7,4.1
Mathematics,83.63,78.46,59.61,85.42,66.79,11.6,87.09,13.6,No,Yes,Low,5,7.2
Business,52.27,97.25,70.86,95.72,75.06,29.2,60.35,7.6,Yes,Yes,High,4,5.9
Mathematics,90.83,98.47,90.03,94.74,96.04,38.6,90.48,21.7,Yes,No,Medium,8,7.0
Mathematics,74.59,89.72,92.56,58.33,66.63,26.4,74.59,24.9,Yes,Yes,Medium,3,6.5
Business,73.41,96.47,97.27,72.98,67.19,90.7,89.97,9.3,Yes,Yes,Low,3,8.4
Mathematics,94.79,45.58,77.79,80.77,69.39,18.700000000000003,92.53,22.7,No,No,Low,8,6.9
Engineering,99.86,97.64,48.0,92.78,88.64,0.2,78.89,10.7,Yes,No,Low,8,7.6
Business,89.02,77.44,54.45,67.58,61.94,44.0,54.84,17.1,Yes,Yes,High,7,6.2
Engineering,53.91,43.41,73.14,77.96,63.0,5.699999999999999,86.16,7.4,No,Yes,Low,5,6.5
Business,87.0,54.35,47.86,87.68,60.5,29.1,66.7,11.9,No,No,High,6,6.3
CS,62.53,48.21,60.9,74.59,85.57,36.5,89.1,9.4,No,No,Medium,6,8.9
Business,93.44,63.99,97.19,73.86,75.89,75.0,96.33,14.0,No,No,Medium,7,8.2
Engineering,97.54,82.27,53.32,77.62,98.87,60.8,61.05,25.6,Yes,Yes,High,2,7.3
Engineering,86.03,95.05,72.52,88.33,74.12,43.0,61.51,14.2,No,Yes,Medium,2,7.2
Business,78.45,93.88,97.3,96.89,76.55,50.1,56.03,11.7,Yes,Yes,Low,8,5.6
CS,58.89,42.81,83.62,87.39,73.18,76.5,65.97,7.1,No,No,High,8,8.5
Mathematics,89.55,51.47,41.31,86.88,64.42,40.5,96.61,16.7,Yes,No,High,8,6.4
Mathematics,84.97,95.44,76.83,89.16,74.28,38.0,89.56,25.6,Yes,Yes,Low,5,5.6
Mathematics,69.75,63.11,80.67,67.77,62.86,99.6,96.35,27.2,Yes,Yes,High,7,4.3
Engineering,63.7,46.57,48.54,55.55,73.73,15.1,79.52,19.0,No,Yes,High,3,7.7
Engineering,65.91,91.72,59.47,50.72,53.83,54.8,90.04,16.7,Yes,Yes,Low,5,7.8
Engineering,77.78,59.64,82.77,58.47,69.02,46.4,58.74,7.3,Yes,No,High,1,5.4
Mathematics,53.22,45.67,91.73,80.56,97.89,20.3,53.68,15.8,No,Yes,Medium,5,4.1
Engineering,78.51,92.25,53.27,64.37,74.33,5.300000000000001,77.11,9.7,No,No,Low,3,8.4
Mathematics,57.95,56.34,89.45,98.09,92.73,99.9,86.21,16.0,Yes,No,Medium,6,5.3
Engineering,89.88,57.79,53.05,60.92,54.56,1.7000000000000002,56.74,17.8,No,Yes,Low,9,6.7
Engineering,96.82,81.98,76.62,63.07,64.15,67.0,94.62,15.0,No,Yes,High,3,7.2
Mathematics,70.3,47.06,81.59,65.53,89.84,12.2,58.2,29.0,Yes,No,High,10,7.3
Engineering,61.88,65.63,64.33,65.91,90.93,59.3,63.51,5.2,Yes,No,Medium,2,5.5
Business,60.74,89.73,63.7,66.7,94.26,11.7,83.45,17.2,Yes,No,Medium,9,4.0
CS,75.03,48.12,59.31,68.25,85.85,92.3,72.43,8.2,Yes,No,High,6,8.2
Business,53.26,89.75,70.34,99.62,83.89,28.9,83.99,10.1,No,No,Low,3,6.1
Engineering,81.92,98.18,88.51,97.57,76.07,31.1,52.22,25.1,No,No,High,5,7.8
CS,61.81,70.85,73.44,99.28,99.36,59.2,96.2,7.0,Yes,No,High,2,5.2
CS,88.74,74.71,66.4,66.06,76.24,25.7,90.2,24.6,No,No,Low,10,8.5
Business,84.99,70.53,73.34,84.76,57.28,99.9,53.66,26.3,No,No,High,2,5.6
CS,54.67,64.64,60.88,85.48,76.09,12.1,65.41,10.3,Yes,No,Medium,9,6.3
Business,54.33,48.31,90.58,50.1,61.71,44.7,80.03,8.6,Yes,Yes,Medium,7,5.8
CS,64.54,59.04,94.55,74.29,55.89,12.3,73.08,25.7,Yes,Yes,High,7,5.6
Business,67.44,64.56,46.64,50.35,62.41,52.9,77.77,11.2,Yes,Yes,High,3,7.2
Business,75.76,90.85,91.59,87.2,65.95,55.7,62.63,9.3,Yes,No,Low,6,7.3
CS,80.39,44.51,98.22,93.26,78.31,11.1,57.72,26.2,Yes,Yes,High,8,8.1
CS,90.87,49.57,88.1,52.13,50.6,76.5,86.07,15.0,No,Yes,High,4,5.7
CS,91.83,92.96,86.77,74.77,60.9,48.6,57.29,26.3,Yes,Yes,High,10,5.6
Mathematics,71.31,78.82,59.32,83.83,56.91,20.9,69.9,6.5,Yes,No,Medium,2,8.6
CS,54.33,77.55,91.56,63.98,67.31,45.1,56.61,18.6,No,No,Low,2,4.0
Mathematics,50.92,40.22,52.51,71.6,56.55,45.0,58.77,16.7,Yes,No,High,5,7.0
Mathematics,60.76,82.85,72.17,83.8,89.68,68.8,82.76,14.1,No,Yes,Medium,8,7.6
CS,54.05,46.98,96.09,59.57,65.8,4.1,67.46,20.6,Yes,Yes,Low,4,6.2
Engineering,67.3,99.44,83.55,84.66,52.18,6.1,54.54,16.5,No,No,Medium,8,8.0
CS,93.04,85.28,78.82,54.93,70.84,54.2,63.5,14.8,Yes,No,Medium,2,5.7
CS,96.54,86.06,97.55,52.38,85.12,11.7,80.04,12.7,Yes,No,Medium,7,6.3
Mathematics,54.33,64.6,51.13,67.35,90.88,75.7,81.85,23.9,Yes,Yes,High,5,7.9
Mathematics,53.84,45.37,49.14,61.02,61.22,94.2,94.52,13.0,No,No,Low,6,7.5
Business,72.65,82.82,54.61,88.12,81.21,51.4,86.18,27.6,Yes,Yes,High,7,7.0
CS,53.84,92.95,59.72,53.18,76.99,87.10000000000001,81.03,19.3,Yes,Yes,Medium,8,4.2
Mathematics,79.31,40.76,91.49,85.54,60.13,80.39999999999999,70.74,29.6,Yes,No,Medium,4,5.3
Engineering,99.16,84.22,83.04,61.62,87.28,43.4,99.41,24.0,Yes,Yes,Medium,2,6.8
Mathematics,52.08,60.28,68.78,55.02,93.31,71.9,72.83,27.7,Yes,No,Medium,10,6.8
Business,80.42,52.28,56.99,77.91,87.63,26.4,52.98,26.4,No,Yes,Medium,9,6.7
Business,82.8,81.17,96.24,64.03,70.88,11.7,66.53,25.0,Yes,No,Low,10,5.4
CS,69.18,71.96,91.35,64.87,81.73,27.7,58.67,26.5,Yes,Yes,Low,9,6.5
CS,50.8,99.88,94.47,66.61,65.66,75.5,85.53,22.0,No,No,High,9,7.9
CS,53.55,60.51,51.79,61.1,92.94,53.6,96.47,25.0,Yes,No,Medium,2,8.6
Business,93.42,95.62,40.43,53.74,60.84,65.5,73.51,17.8,No,Yes,Medium,6,7.0
Engineering,98.73,76.48,95.7,75.48,89.72,9.4,87.46,18.8,Yes,Yes,High,8,7.1
Mathematics,82.79,93.72,82.47,87.56,92.09,23.8,79.61,21.3,Yes,Yes,Low,9,7.2
Mathematics,99.44,44.26,41.64,52.87,91.27,38.0,90.1,6.6,Yes,Yes,High,5,7.3
Mathematics,95.48,82.14,67.36,66.2,81.07,29.0,64.51,27.9,Yes,Yes,Low,8,5.0
Mathematics,56.07,56.72,78.91,71.64,89.23,94.7,60.89,28.2,No,No,Low,5,5.1
Mathematics,92.19,86.64,74.71,61.43,57.5,40.2,51.81,24.9,No,No,Low,7,8.3
Mathematics,75.57,45.22,50.14,72.42,76.55,43.9,83.83,23.9,Yes,No,Low,1,7.6
Engineering,56.22,98.69,71.98,92.36,93.19,87.0,78.09,19.2,No,No,Low,2,6.3
Engineering,86.48,94.9,94.53,52.19,53.0,80.7,50.82,29.2,Yes,No,Medium,2,8.5
Engineering,90.49,52.22,45.47,67.8,66.27,76.2,64.08,13.4,Yes,Yes,Low,7,8.8
CS,83.08,49.06,89.22,52.38,76.62,20.0,68.17,14.4,No,Yes,Low,7,5.2
Business,72.08,85.19,58.14,60.45,70.47,64.5,91.01,10.8,No,Yes,Medium,8,4.4
Business,98.68,58.44,59.12,73.06,58.88,67.1,50.44,29.5,Yes,No,Low,6,7.6
Business,50.92,69.98,46.83,82.33,71.2,14.2,88.68,14.8,Yes,Yes,High,6,6.6
Engineering,53.02,76.57,56.78,94.54,98.03,75.5,61.55,15.3,Yes,No,High,8,6.6
Mathematics,74.54,99.06,57.24,83.61,98.48,27.200000000000003,64.71,19.8,Yes,Yes,Low,8,7.0
CS,90.03,85.98,47.91,77.14,70.63,25.4,72.31,6.1,No,Yes,Medium,9,4.9
Business,50.22,74.83,68.64,50.49,82.41,76.3,72.05,25.1,No,Yes,Medium,2,7.4
CS,94.55,64.81,57.27,83.72,68.19,32.3,80.14,9.8,Yes,No,Medium,5,5.1
CS,80.3,94.92,44.59,73.76,77.11,8.7,57.68,24.9,No,Yes,Low,10,6.2
Business,54.16,98.96,70.22,76.17,78.62,87.30000000000001,96.23,15.0,No,Yes,High,9,6.5
Mathematics,81.75,52.5,50.77,99.8,97.27,77.9,81.44,11.5,No,No,Low,9,6.2
CS,53.15,84.87,58.63,83.32,90.65,12.6,81.11,8.4,Yes,No,Low,10,8.0
Business,91.13,54.39,70.79,60.17,89.15,50.7,64.98,21.7,Yes,No,High,4,7.5
CS,52.98,60.83,96.29,78.62,57.35,39.2,55.65,16.6,No,Yes,Medium,9,7.1
CS,91.93,60.32,57.32,81.96,97.36,62.7,87.54,22.7,Yes,Yes,Low,5,5.5
Engineering,99.13,89.99,58.14,65.02,68.31,52.1,93.74,14.7,No,No,Low,2,8.3
CS,82.92,54.39,68.46,72.77,83.73,58.7,50.35,19.3,Yes,Yes,High,5,4.7
Engineering,51.45,58.5,99.46,63.68,61.33,99.9,86.31,22.5,No,No,Medium,7,4.6
Mathematics,57.39,84.63,54.37,95.14,70.53,27.3,88.24,16.2,No,No,Medium,7,5.1
Business,82.81,48.11,92.72,92.75,96.86,41.2,57.6,29.1,Yes,No,Low,3,8.8
CS,57.58,74.4,65.77,53.19,88.95,77.9,70.83,5.8,Yes,Yes,High,1,6.9
Business,69.02,75.57,59.57,56.57,83.01,5.2,58.28,8.9,Yes,Yes,Medium,8,8.3
Engineering,93.8,54.6,98.64,77.34,70.92,57.9,88.7,24.5,Yes,Yes,Low,2,4.2
Business,87.86,56.16,79.16,50.72,78.59,14.7,87.25,19.2,No,Yes,Medium,8,6.7
Engineering,70.09,90.52,43.01,78.64,59.6,7.5,56.15,24.0,No,No,High,7,6.2
CS,50.96,59.05,56.25,51.98,85.55,96.5,59.22,26.8,No,Yes,High,10,7.7
Business,94.46,83.46,98.79,68.22,83.97,28.3,65.79,15.0,No,No,Low,5,6.7
Engineering,90.38,45.65,44.44,68.1,66.27,4.2,55.48,25.5,No,Yes,Low,8,4.9
Business,84.53,95.75,65.81,63.71,98.75,11.3,96.99,5.2,No,No,Medium,7,7.7
Engineering,67.38,79.83,68.72,83.23,76.1,60.2,81.68,7.3,Yes,Yes,High,1,7.5
CS,62.6,88.67,92.52,60.36,95.21,85.19999999999999,84.48,13.0,Yes,No,High,2,8.9
Mathematics,89.53,57.45,81.94,90.59,79.31,86.1,75.53,20.8,No,Yes,Medium,10,9.0
Business,93.88,78.46,50.27,62.89,62.25,74.80000000000001,53.17,29.5,Yes,Yes,High,1,4.3
CS,54.23,56.69,67.3,58.21,58.42,0.4,75.07,26.1,Yes,No,Low,8,7.5
Mathematics,57.73,64.31,62.39,99.89,51.22,55.5,56.05,22.6,No,No,Medium,3,7.8
Engineering,99.09,76.58,50.76,72.05,73.29,43.2,73.47,19.6,Yes,No,Low,1,8.5
CS,86.67,83.94,46.8,84.98,82.99,53.4,72.42,13.7,No,Yes,Low,8,7.8
Business,67.04,80.6,53.98,99.94,98.92,49.1,99.23,14.7,No,No,Low,9,7.4
Business,73.42,44.24,64.55,65.47,78.99,47.2,63.31,13.8,Yes,No,High,9,8.2
Mathematics,65.6,93.1,75.01,57.54,84.48,78.0,94.27,21.0,No,No,Low,2,8.7
Engineering,64.23,46.73,79.86,96.69,58.41,76.10000000000001,96.03,13.1,Yes,No,Medium,1,4.7
Mathematics,81.37,62.86,81.21,73.05,86.4,64.6,93.01,8.9,Yes,No,Medium,4,6.8
Mathematics,78.69,44.89,68.7,93.07,67.94,80.19999999999999,88.85,5.2,Yes,No,Medium,5,7.2
Mathematics,90.33,93.29,88.42,87.06,65.22,64.0,66.23,29.9,Yes,Yes,High,2,5.3
CS,91.05,78.86,48.86,50.6,78.28,2.9,57.88,5.8,No,No,High,2,6.2
Business,78.19,64.73,73.78,88.39,94.81,54.900000000000006,73.3,6.6,Yes,Yes,Medium,10,5.5
Mathematics,59.28,81.75,69.07,59.94,74.4,44.900000000000006,55.88,13.4,Yes,Yes,High,3,4.5
Engineering,88.5,45.5,80.43,68.13,54.04,83.4,75.22,5.9,Yes,No,Medium,2,8.7
CS,97.94,61.52,59.15,71.03,56.47,100.0,58.37,26.8,Yes,No,High,10,8.6
Mathematics,65.26,62.03,53.83,99.26,67.41,56.5,79.31,13.2,No,No,High,6,6.4
Mathematics,67.08,67.98,42.66,97.71,89.97,88.5,87.47,12.4,No,Yes,Low,8,4.5
Mathematics,55.61,82.91,98.35,73.18,76.11,84.2,90.6,25.8,No,Yes,Medium,8,5.0
Business,87.32,91.44,48.54,78.82,62.16,33.1,99.72,19.2,Yes,Yes,Low,10,4.1
Business,81.72,46.07,47.28,68.58,98.23,29.4,61.99,10.4,No,No,Low,6,7.3
Engineering,57.28,90.69,57.47,50.23,54.42,63.9,72.97,5.1,No,Yes,Low,2,6.7
Business,66.79,58.93,70.04,51.44,77.27,18.6,72.83,16.8,Yes,Yes,Medium,1,5.4
Business,62.31,46.73,52.76,94.7,92.8,83.10000000000001,94.92,20.8,No,Yes,Low,10,8.3
Engineering,88.09,91.93,44.87,64.77,93.08,56.0,87.05,27.7,Yes,Yes,Medium,10,7.2
Mathematics,56.4,99.81,97.2,50.62,58.48,41.1,52.15,19.5,No,Yes,Medium,4,5.4
CS,95.41,71.38,92.24,59.35,91.53,8.6,51.12,13.1,Yes,No,Medium,10,5.1
Business,98.32,79.17,75.12,59.29,81.86,88.4,68.13,12.7,No,Yes,High,6,8.2
Mathematics,77.05,60.2,91.06,70.09,86.7,91.5,84.15,18.2,Yes,No,Medium,10,7.8
Business,83.06,56.05,76.47,60.76,87.47,76.0,72.05,21.0,No,Yes,Low,5,4.3
CS,86.25,67.19,69.07,56.01,56.51,39.1,86.69,7.5,No,No,Medium,6,8.9
Mathematics,78.14,61.25,88.49,80.35,96.87,52.9,90.12,19.5,Yes,No,Low,7,7.1
CS,77.12,68.94,50.67,81.99,86.03,95.6,85.74,18.0,Yes,Yes,Low,3,6.1
Engineering,88.73,99.81,50.28,69.91,89.52,54.2,62.93,25.1,Yes,No,High,7,4.8
Mathematics,99.9,77.82,53.58,71.38,53.93,9.7,71.42,19.8,No,No,Medium,10,6.2
Engineering,59.04,57.74,56.83,85.24,83.43,92.9,73.65,7.6,Yes,No,High,7,4.6
Business,60.58,59.36,49.26,66.28,74.89,34.6,68.66,29.8,Yes,Yes,Low,2,8.7
CS,59.03,96.35,41.93,51.51,77.02,88.69999999999999,86.75,28.5,Yes,No,Low,7,5.1
Business,98.77,75.07,66.83,97.51,97.73,5.4,96.93,20.0,No,No,Low,5,8.4
Engineering,69.03,87.61,43.46,51.92,54.38,68.5,99.99,14.5,Yes,No,Medium,2,6.7
Business,54.16,91.41,81.82,56.17,98.8,58.5,68.01,23.3,Yes,No,Low,6,4.1
Mathematics,75.58,94.58,57.95,57.58,93.46,85.39999999999999,77.47,14.2,No,Yes,Medium,3,4.2
Mathematics,80.72,68.17,97.25,68.44,74.27,94.3,95.01,22.8,No,Yes,Medium,6,7.9
CS,65.17,60.51,76.47,78.48,92.45,6.7,54.22,15.3,No,No,High,7,8.0
Engineering,64.85,46.95,44.59,74.1,65.64,7.4,90.67,27.3,Yes,Yes,Low,5,7.5
Engineering,90.11,65.01,65.15,79.49,90.02,66.10000000000001,70.27,11.1,No,Yes,Low,5,8.2
Mathematics,68.48,48.0,46.2,68.74,89.15,88.2,95.54,16.6,No,Yes,Medium,10,8.5
CS,81.14,79.36,77.24,76.64,83.67,72.69999999999999,90.11,12.4,No,Yes,Low,5,8.8
Mathematics,54.12,88.4,88.26,89.57,62.93,81.5,96.28,17.6,Yes,No,Low,5,5.5
CS,73.17,86.98,55.9,54.7,97.73,64.7,92.47,5.9,Yes,Yes,Medium,7,7.8
Mathematics,69.54,43.18,78.96,76.03,83.57,53.9,83.21,17.6,No,No,High,6,5.3
Business,99.67,59.41,89.22,81.16,58.99,66.2,72.31,27.2,No,No,High,9,5.4
Business,64.57,62.47,95.59,85.52,71.98,92.0,54.19,21.0,No,No,High,1,5.1
Engineering,51.28,83.04,76.46,51.61,77.61,50.8,52.56,5.8,Yes,Yes,High,9,8.8
Business,66.06,98.62,40.55,67.51,78.41,24.8,97.68,18.1,No,No,High,4,7.4
Engineering,79.62,60.28,63.22,66.63,62.24,82.6,57.8,17.3,Yes,Yes,Low,8,7.1
Engineering,86.69,85.12,64.57,54.22,56.53,84.5,60.01,24.4,Yes,Yes,Low,10,6.1
Business,69.71,80.87,69.29,78.76,92.42,75.19999999999999,61.87,16.2,Yes,No,Medium,1,4.6
CS,91.35,69.48,48.7,51.15,70.47,76.9,77.57,22.3,No,Yes,Medium,7,7.1
Engineering,79.45,71.86,65.04,77.78,97.66,27.8,95.27,10.4,Yes,No,Medium,1,8.7
CS,93.72,92.3,74.77,67.14,91.09,21.4,57.2,6.3,Yes,No,High,8,5.6
Business,99.64,84.62,59.93,60.36,78.78,42.6,98.85,26.8,No,Yes,High,8,8.7
CS,82.09,63.78,41.62,68.09,56.88,17.2,90.98,28.7,Yes,Yes,Low,4,7.4
Mathematics,67.79,64.8,82.59,66.17,81.14,65.3,60.92,19.7,No,Yes,Low,5,7.4
Business,55.56,66.46,99.0,56.84,93.09,51.2,82.26,28.0,Yes,Yes,Low,6,5.8
Engineering,58.45,74.01,75.93,51.42,71.8,26.8,69.9,18.4,Yes,Yes,Low,5,8.5
CS,97.86,53.28,68.83,60.67,58.74,5.300000000000001,52.46,11.6,Yes,Yes,High,9,6.7
Engineering,93.1,90.99,49.27,85.09,85.81,94.7,95.99,29.8,Yes,No,High,3,7.5
Business,82.84,72.13,94.7,57.66,55.04,4.9,87.18,16.3,Yes,No,Low,6,5.1
Business,78.77,96.01,71.18,56.33,96.73,25.0,98.6,13.2,No,Yes,Medium,2,4.5
CS,66.09,60.38,66.66,51.59,97.07,8.100000000000001,53.11,27.2,No,Yes,High,10,8.4
Engineering,69.11,93.68,75.71,79.59,89.16,19.1,56.4,25.3,No,Yes,High,10,8.1
Business,86.19,78.93,44.62,63.22,69.61,44.8,58.66,25.1,Yes,Yes,High,10,5.2
Business,69.91,53.48,89.27,97.02,59.69,45.0,95.63,20.8,No,No,Low,10,4.5
Business,79.8,46.45,93.3,55.98,66.18,81.4,81.12,22.2,Yes,No,High,8,5.8
Engineering,54.5,61.44,97.99,90.24,74.54,14.0,87.85,8.9,Yes,Yes,High,8,4.7
CS,51.84,65.7,65.65,67.16,75.3,63.2,94.03,7.4,Yes,Yes,Medium,8,5.1
CS,90.96,49.85,94.0,67.08,84.41,46.0,71.41,22.3,Yes,No,Low,1,8.3
Business,89.1,57.08,90.58,64.9,87.24,88.6,84.85,19.4,No,Yes,High,7,8.2
Mathematics,55.32,81.08,89.36,59.11,83.34,15.9,71.22,18.9,Yes,No,Low,7,6.0
CS,91.51,64.67,78.87,97.64,66.08,41.6,88.61,23.5,Yes,Yes,Medium,6,7.3
Mathematics,79.42,73.49,47.3,97.89,59.74,26.3,65.73,15.0,Yes,Yes,Medium,3,7.2
Engineering,52.85,58.75,97.49,77.14,77.33,92.8,91.47,8.0,No,Yes,High,9,4.1
Mathematics,89.49,79.12,68.54,91.91,91.45,93.2,62.06,25.1,Yes,No,Low,4,8.4
CS,61.92,69.36,70.17,66.61,86.21,65.1,69.91,15.7,No,Yes,High,7,5.8
Business,51.66,85.49,86.83,53.98,75.81,43.5,51.24,19.3,Yes,No,Medium,2,5.6
CS,95.42,77.05,88.51,57.61,78.59,81.1,57.87,6.2,No,Yes,Low,10,7.7
Mathematics,76.34,43.15,62.89,96.06,53.38,65.7,68.3,14.1,No,Yes,Low,6,5.0
Business,96.27,76.1,50.48,78.33,87.65,25.4,87.55,22.4,No,No,Low,4,7.7
CS,95.11,64.84,49.92,94.21,51.67,11.9,89.55,25.2,Yes,No,High,1,8.0
Business,85.02,54.06,81.69,71.69,86.69,38.5,83.26,21.2,No,No,Medium,4,6.5
CS,77.89,86.28,86.75,92.6,99.34,12.6,97.27,26.3,Yes,Yes,High,1,8.5
CS,52.63,47.29,47.28,56.94,87.06,32.8,62.81,29.8,Yes,Yes,Medium,9,7.0
Business,85.03,49.95,58.22,52.4,95.96,99.6,81.7,6.2,Yes,No,Medium,6,6.0
Business,82.98,83.83,89.9,52.98,53.42,33.6,70.94,16.7,Yes,Yes,Medium,5,5.9
Engineering,79.88,67.62,46.03,70.24,72.78,94.3,51.18,29.1,Yes,Yes,Medium,8,8.8
Business,85.72,83.52,97.43,67.29,76.95,45.9,97.62,11.5,No,Yes,Medium,4,5.1
Business,71.53,84.92,91.19,60.39,81.08,75.0,87.73,5.1,No,Yes,Low,3,7.8
Business,78.06,54.33,55.99,96.29,69.64,93.3,78.63,13.1,Yes,No,Medium,4,7.1
Business,87.68,40.35,65.84,84.19,77.73,40.2,70.85,26.0,No,No,Low,10,5.7
Mathematics,77.94,92.11,47.53,69.32,88.77,7.1,55.09,15.0,Yes,Yes,High,4,8.2
CS,81.51,95.92,99.55,85.02,94.58,99.4,95.45,14.4,Yes,Yes,Low,8,5.4
Business,75.71,99.31,49.04,74.9,69.13,39.3,63.2,21.4,No,No,Medium,2,8.1
Business,92.12,88.87,75.1,78.93,74.62,56.5,63.39,20.2,Yes,No,Medium,5,4.8
Mathematics,87.84,59.78,83.35,59.05,50.01,7.0,50.12,16.3,Yes,No,Medium,8,7.0
Business,54.0,51.61,75.62,85.1,60.75,97.9,59.58,21.3,Yes,Yes,High,7,8.3
Mathematics,51.9,49.72,94.18,57.88,86.47,56.900000000000006,94.92,12.0,No,No,Medium,9,8.3
Engineering,70.07,85.2,90.98,87.51,90.07,67.6,82.38,8.7,Yes,No,Low,1,4.8
Mathematics,86.93,60.34,99.06,76.38,64.18,62.6,53.69,23.7,Yes,No,Medium,3,7.0
Business,90.56,73.02,61.32,65.13,69.89,52.0,82.38,8.7,No,Yes,High,9,7.0
Engineering,89.9,67.15,66.3,68.85,51.46,46.7,70.48,19.8,Yes,No,High,7,5.0
Engineering,56.24,44.58,96.0,53.35,89.93,68.8,78.62,12.9,No,Yes,High,9,5.8
Engineering,79.72,60.69,90.69,53.38,74.34,50.0,76.21,17.1,No,Yes,Low,9,4.6
Mathematics,61.49,94.41,78.93,83.66,71.26,48.7,96.72,7.2,Yes,Yes,High,4,8.0
CS,64.84,57.22,84.85,75.5,95.2,79.0,82.41,8.4,Yes,Yes,High,4,6.6
CS,65.97,71.33,75.75,56.5,84.67,74.6,94.65,7.9,Yes,No,High,9,6.4
Business,59.04,96.89,88.16,72.04,60.54,68.0,78.64,18.0,No,No,Low,3,4.1
CS,66.03,42.38,98.67,68.41,58.7,8.7,62.57,27.7,No,No,Low,6,4.4
CS,69.99,76.42,52.68,99.01,81.69,92.2,94.15,20.0,No,Yes,High,5,7.3
CS,54.48,85.22,90.09,98.32,59.93,81.19999999999999,66.2,20.6,No,No,Medium,2,7.8
Mathematics,64.01,87.96,98.47,96.98,55.63,58.8,78.6,13.8,No,No,High,4,4.3
CS,67.05,88.14,66.91,90.26,82.0,57.400000000000006,93.45,29.1,No,Yes,High,1,6.6
Engineering,61.8,57.68,76.03,86.0,63.24,31.8,59.78,22.4,Yes,No,High,9,6.7
Mathematics,61.81,59.82,74.47,53.81,66.48,68.4,74.76,17.4,Yes,No,High,8,5.8
Business,71.92,80.14,46.53,90.1,79.07,30.0,90.47,17.6,Yes,No,High,1,5.4
Business,80.18,62.13,76.94,67.91,99.46,45.2,82.71,15.1,No,No,Medium,6,6.5
Business,86.6,86.41,54.09,99.26,77.74,92.8,81.99,16.4,Yes,No,Medium,9,7.0
